,b,delta,H,MAPE
80,-10.0,1180,"[-364336.0, -700890.0, -882425.0, -1059685.0, -1408580.0]",0.31789490560961753
81,-10.0,1181,"[-365607.0, -702049.0, -883059.0, -1060004.0, -1407159.0]",0.3168995612825886
82,-10.0,1182,"[-366812.0, -703086.0, -883541.0, -1060141.0, -1405496.0]",0.31590613060286815
83,-10.0,1183,"[-367951.0, -704001.0, -883871.0, -1060096.0, -1403591.0]",0.31491409681163746
84,-10.0,1184,"[-369024.0, -704794.0, -884049.0, -1059869.0, -1401444.0]",0.31401934295502787
85,-10.0,1185,"[-370031.0, -705465.0, -884075.0, -1059460.0, -1399055.0]",0.31313940018369946
86,-10.0,1186,"[-370972.0, -706014.0, -883949.0, -1058869.0, -1396424.0]",0.3122597836887045
87,-10.0,1187,"[-371847.0, -706441.0, -883671.0, -1058096.0, -1393551.0]",0.311380037094385
88,-10.0,1188,"[-372656.0, -706746.0, -883241.0, -1057141.0, -1390436.0]",0.310499702962664
89,-10.0,1189,"[-373399.0, -706929.0, -882659.0, -1056004.0, -1387079.0]",0.30961832199670003
90,-10.0,1190,"[-374076.0, -706990.0, -881925.0, -1054685.0, -1383480.0]",0.30873543223643973
91,-10.0,1191,"[-374687.0, -706929.0, -881039.0, -1053184.0, -1379639.0]",0.3078505682430898
92,-10.0,1192,"[-375232.0, -706746.0, -880001.0, -1051501.0, -1375556.0]",0.3069632602694533
93,-10.0,1193,"[-375711.0, -706441.0, -878811.0, -1049636.0, -1371231.0]",0.3060730334129804
94,-10.0,1194,"[-376124.0, -706014.0, -877469.0, -1047589.0, -1366664.0]",0.3051794067482727
95,-10.0,1195,"[-376471.0, -705465.0, -875975.0, -1045360.0, -1361855.0]",0.30428189243563647
96,-10.0,1196,"[-376752.0, -704794.0, -874329.0, -1042949.0, -1356804.0]",0.30337999480212724
97,-10.0,1197,"[-376967.0, -704001.0, -872531.0, -1040356.0, -1351511.0]",0.30247320939133787
98,-10.0,1198,"[-377116.0, -703086.0, -870581.0, -1037581.0, -1345976.0]",0.3015610219779713
