,b,delta,H,MAPE
65,-3.500000000000023,1239,"[47380932.0, 86146945.0, 106363002.5, 126831817.5, 166461665.0]",0.30015785684277063
66,-3.4000000000000234,1239,"[47384891.2, 86154204.0, 106372006.0, 126842576.00000001, 166475878.0]",0.3001582756979184
67,-3.300000000000024,1239,"[47388850.4, 86161463.0, 106381009.49999999, 126853334.49999999, 166490091.0]",0.3001586944820731
68,-3.200000000000024,1239,"[47392809.599999994, 86168722.0, 106390013.00000001, 126864093.0, 166504304.0]",0.30015911319525274
69,-3.1000000000000245,1239,"[47396768.8, 86175981.0, 106399016.5, 126874851.49999999, 166518517.0]",0.30015953183747546
70,-3.000000000000025,1239,"[47400728.0, 86183240.0, 106408020.0, 126885610.0, 166532730.0]",0.30015995040875926
71,-2.9000000000000252,1239,"[47404687.2, 86190499.0, 106417023.5, 126896368.50000001, 166546943.0]",0.30016036890912207
72,-2.8000000000000256,1239,"[47408646.4, 86197758.0, 106426026.99999999, 126907126.99999999, 166561156.0]",0.30016078733858204
73,-2.700000000000026,1239,"[47412605.599999994, 86205017.0, 106435030.50000001, 126917885.5, 166575369.0]",0.3001612056971571
74,-2.6000000000000263,1239,"[47416564.8, 86212276.0, 106444034.0, 126928643.99999999, 166589582.0]",0.30016162398486534
75,-2.5000000000000266,1239,"[47420524.0, 86219535.0, 106453037.5, 126939402.5, 166603795.0]",0.30016204220172477
76,-2.400000000000027,1239,"[47424483.2, 86226794.0, 106462041.0, 126950161.00000001, 166618008.0]",0.30016246034775335
77,-2.3000000000000274,1239,"[47428442.4, 86234053.0, 106471044.49999999, 126960919.49999999, 166632221.0]",0.30016287842296896
78,-2.2000000000000277,1239,"[47432401.599999994, 86241312.0, 106480048.00000001, 126971678.0, 166646434.0]",0.3001632964273897
79,-2.100000000000028,1239,"[47436360.8, 86248571.0, 106489051.5, 126982436.49999999, 166660647.0]",0.30016371436103356
80,-2.0000000000000284,1239,"[47440320.0, 86255830.0, 106498055.0, 126993195.0, 166674860.0]",0.3001641322239186
81,-1.9000000000000288,1239,"[47444279.2, 86263089.0, 106507058.5, 127003953.50000001, 166689073.0]",0.3001645500160626
82,-1.8000000000000291,1239,"[47448238.4, 86270348.0, 106516061.99999999, 127014711.99999999, 166703286.0]",0.30016496773748363
83,-1.7000000000000295,1239,"[47452197.599999994, 86277607.0, 106525065.50000001, 127025470.5, 166717499.0]",0.30016538538819953
84,-1.6000000000000298,1239,"[47456156.8, 86284866.0, 106534069.0, 127036228.99999999, 166731712.0]",0.3001658029682285
85,-1.5000000000000302,1239,"[47460116.0, 86292125.0, 106543072.5, 127046987.5, 166745925.0]",0.3001662204775883
86,-1.4000000000000306,1239,"[47464075.2, 86299384.0, 106552076.0, 127057746.00000001, 166760138.0]",0.3001666379162969
87,-1.300000000000031,1239,"[47468034.4, 86306643.0, 106561079.49999999, 127068504.49999999, 166774351.0]",0.30016705528437215
88,-1.2000000000000313,1239,"[47471993.599999994, 86313902.0, 106570083.00000001, 127079263.0, 166788564.0]",0.3001674725818321
89,-1.1000000000000316,1239,"[47475952.8, 86321161.0, 106579086.5, 127090021.49999999, 166802777.0]",0.30016788980869463
90,-1.000000000000032,1239,"[47479912.0, 86328420.0, 106588090.0, 127100780.0, 166816990.0]",0.30016830696497765
