,b,delta,H,MAPE
86,-19.5,1136,"[-619196.0, -1218719.0, -1559381.5, -1887526.5, -2581759.0]",0.33627125478384384
87,-19.5,1137,"[-623371.0, -1225246.0, -1566703.5, -1895853.5, -2590986.0]",0.33559824149346507
88,-19.5,1138,"[-627480.0, -1231651.0, -1573873.5, -1903998.5, -2599971.0]",0.33493366615538867
89,-19.5,1139,"[-631523.0, -1237934.0, -1580891.5, -1911961.5, -2608714.0]",0.3342772271166164
90,-19.5,1140,"[-635500.0, -1244095.0, -1587757.5, -1919742.5, -2617215.0]",0.3336286325742006
91,-19.5,1141,"[-639411.0, -1250134.0, -1594471.5, -1927341.5, -2625474.0]",0.3329876000891894
92,-19.5,1142,"[-643256.0, -1256051.0, -1601033.5, -1934758.5, -2633491.0]",0.3323538561260394
93,-19.5,1143,"[-647035.0, -1261846.0, -1607443.5, -1941993.5, -2641266.0]",0.3317271356158538
94,-19.5,1144,"[-650748.0, -1267519.0, -1613701.5, -1949046.5, -2648799.0]",0.33110718154191476
95,-19.5,1145,"[-654395.0, -1273070.0, -1619807.5, -1955917.5, -2656090.0]",0.33049374454608743
96,-19.5,1146,"[-657976.0, -1278499.0, -1625761.5, -1962606.5, -2663139.0]",0.32988658255477354
97,-19.5,1147,"[-661491.0, -1283806.0, -1631563.5, -1969113.5, -2669946.0]",0.3292854604231784
98,-19.5,1148,"[-664940.0, -1288991.0, -1637213.5, -1975438.5, -2676511.0]",0.3286901495967412
99,-19.5,1149,"[-668323.0, -1294054.0, -1642711.5, -1981581.5, -2682834.0]",0.3281004277886558
100,-19.5,1150,"[-671640.0, -1298995.0, -1648057.5, -1987542.5, -2688915.0]",0.3275160786724773
101,-19.5,1151,"[-674891.0, -1303814.0, -1653251.5, -1993321.5, -2694754.0]",0.3269368915888785
102,-19.5,1152,"[-678076.0, -1308511.0, -1658293.5, -1998918.5, -2700351.0]",0.32636266126567715
103,-19.5,1153,"[-681195.0, -1313086.0, -1663183.5, -2004333.5, -2705706.0]",0.32579318755031367
104,-19.5,1154,"[-684248.0, -1317539.0, -1667921.5, -2009566.5, -2710819.0]",0.325228275154009
105,-19.5,1155,"[-687235.0, -1321870.0, -1672507.5, -2014617.5, -2715690.0]",0.32466773340687977
106,-19.5,1156,"[-690156.0, -1326079.0, -1676941.5, -2019486.5, -2720319.0]",0.3241113760233332
107,-19.5,1157,"[-693011.0, -1330166.0, -1681223.5, -2024173.5, -2724706.0]",0.32355902087710336
108,-19.5,1158,"[-695800.0, -1334131.0, -1685353.5, -2028678.5, -2728851.0]",0.3230104897853298
109,-19.5,1159,"[-698523.0, -1337974.0, -1689331.5, -2033001.5, -2732754.0]",0.3224656083011132
110,-19.5,1160,"[-701180.0, -1341695.0, -1693157.5, -2037142.5, -2736415.0]",0.3219242055140142
111,-19.5,1161,"[-703771.0, -1345294.0, -1696831.5, -2041101.5, -2739834.0]",0.32138611385799554
112,-19.5,1162,"[-706296.0, -1348771.0, -1700353.5, -2044878.5, -2743011.0]",0.3208511689263295
113,-19.5,1163,"[-708755.0, -1352126.0, -1703723.5, -2048473.5, -2745946.0]",0.3203192092930222
114,-19.5,1164,"[-711148.0, -1355359.0, -1706941.5, -2051886.5, -2748639.0]",0.31979007634032947
115,-19.5,1165,"[-713475.0, -1358470.0, -1710007.5, -2055117.5, -2751090.0]",0.3192636140919592
116,-19.5,1166,"[-715736.0, -1361459.0, -1712921.5, -2058166.5, -2753299.0]",0.3187396690515768
117,-19.5,1167,"[-717931.0, -1364326.0, -1715683.5, -2061033.5, -2755266.0]",0.318218090046249
118,-19.5,1168,"[-720060.0, -1367071.0, -1718293.5, -2063718.5, -2756991.0]",0.3176987280744769
119,-19.5,1169,"[-722123.0, -1369694.0, -1720751.5, -2066221.5, -2758474.0]",0.3171814361584872
120,-19.5,1170,"[-724120.0, -1372195.0, -1723057.5, -2068542.5, -2759715.0]",0.31666606920046303
121,-19.5,1171,"[-726051.0, -1374574.0, -1725211.5, -2070681.5, -2760714.0]",0.3161524838424106
122,-19.5,1172,"[-727916.0, -1376831.0, -1727213.5, -2072638.5, -2761471.0]",0.3156405383293696
123,-19.5,1173,"[-729715.0, -1378966.0, -1729063.5, -2074413.5, -2761986.0]",0.31513009237568573
124,-19.5,1174,"[-731448.0, -1380979.0, -1730761.5, -2076006.5, -2762259.0]",0.3146210070340752
125,-19.5,1175,"[-733115.0, -1382870.0, -1732307.5, -2077417.5, -2762290.0]",0.31411314456721917
126,-19.5,1176,"[-734716.0, -1384639.0, -1733701.5, -2078646.5, -2762079.0]",0.3136063683216349
